id,bin,area_km2,harbors,overlaps,kcal_all,kcal_cerleg,kcal_bantub,kcal_density,pop_1500,cities_1500,pop_1700,cities_1700,pop_1800,cities_1800,origin_lon,origin_lat,rf_pred_1800,rf_resid_1800
OO-86,0_0_0,21805,0,7,0,0,0,0.0,0,0,0,0,0,0,10.16192,29.44333,0,-0.01
OP-88,0_0_0,21102,0,7,0,0,0,0.0,0,0,0,0,0,0,10.62957,28.63335,0,-0.0
OQ-83,0_0_0,21209,0,7,877689885184,877689885184,6626293,41.4,0,0,0,0,0,0,11.09721,31.06328,0,-0.04
OQ-87,0_0_0,21418,0,7,0,0,0,0.0,0,0,0,0,0,0,11.09721,28.90335,0,-0.01
ON-86,0_0_0,20989,0,7,0,0,0,0.0,0,0,0,0,0,0,9.69428,29.71332,0,-0.0
OP-84,0_0_0,21400,0,7,349034557184,349034557184,0,16.3,0,0,0,0,0,0,10.62957,30.79329,0,-0.04
ON-88,0_0_0,22865,0,7,0,0,0,0.0,0,0,0,0,0,0,9.69428,28.63335,0,-0.02
OQ-86,0_0_0,21266,0,7,0,0,0,0.0,0,0,0,0,0,0,11.09721,29.44333,0,-0.0
OO-88,0_0_0,21127,0,7,0,0,0,0.0,0,0,0,0,0,0,10.16192,28.36336,0,-0.0
OP-85,0_0_0,20440,0,7,12570680064,12570680064,0,0.6,0,0,0,0,0,0,10.62957,30.25331,0,-0.01
OO-85,0_0_0,18828,0,7,0,0,0,0.0,0,0,0,0,0,0,10.16192,29.98331,0,-0.0
ON-84,0_0_0,20333,0,7,0,0,0,0.0,0,0,0,0,0,0,9.69428,30.79329,0,-0.0
OP-86,0_0_0,20503,0,7,0,0,0,0.0,0,0,0,0,0,0,10.62957,29.71332,0,-0.0
OQ-85,0_0_0,21017,0,7,0,0,0,0.0,0,0,0,0,0,0,11.09721,29.98331,0,-0.0
OO-83,0_0_0,20190,0,7,141335213056,141335213056,0,7.0,0,0,0,0,0,0,10.16192,31.06328,0,-0.04
ON-85,0_0_0,20149,0,7,0,0,0,0.0,0,0,0,0,0,0,9.69428,30.25331,0,-0.0
OQ-84,0_0_0,21057,0,7,263927656704,263927656704,0,12.5,0,0,0,0,0,0,11.09721,30.5233,0,-0.04
OP-87,0_0_0,21451,0,7,0,0,0,0.0,0,0,0,0,0,0,10.62957,29.17334,0,-0.01
OO-84,0_0_0,20631,0,7,0,0,0,0.0,0,0,0,0,0,0,10.16192,30.5233,0,-0.0
PC-89,0_0_0,21884,0,7,0,0,0,0.0,0,0,0,0,0,0,16.70889,27.82338,0,-0.01
PC-90,0_0_0,22206,0,7,0,0,0,0.0,0,0,0,0,0,0,16.70889,27.28339,0,-0.01
OY-90,0_0_0,20048,0,7,0,0,0,0.0,0,0,0,0,0,0,14.83833,27.28339,0,-0.0
PA-91,0_0_0,20131,0,7,0,0,0,0.0,0,0,0,0,0,0,15.77361,26.74341,0,-0.0
OX-91,0_0_0,20337,0,7,0,0,0,0.0,0,0,0,0,0,0,14.37069,27.0134,0,-0.0
PB-91,0_0_0,21474,0,7,0,0,0,0.0,0,0,0,0,0,0,16.24125,27.0134,0,-0.01
PA-90,0_0_0,20610,0,7,0,0,0,0.0,0,0,0,0,0,0,15.77361,27.28339,0,-0.0
PD-90,0_0_0,27252,0,8,0,0,0,0.0,0,0,0,0,0,0,17.17653,27.55338,0,-0.01
OX-90,0_0_0,18756,0,7,0,0,0,0.0,0,0,0,0,0,0,14.37069,27.55338,0,-0.0
OW-91,0_0_0,20840,0,7,0,0,0,0.0,0,0,0,0,0,0,13.90305,26.74341,0,-0.0
OZ-90,0_0_0,20564,0,7,0,0,0,0.0,0,0,0,0,0,0,15.30597,27.55338,0,-0.0
